,HSI,COR,SPY,REA,GOL,TYX,BTC
HSI,1.0,0.6504523218296011,0.7196328798635844,0.6992209623987719,-0.3714516563114526,0.4118982880091251,0.770289207609109
COR,0.6504523218296011,1.0,0.9361183773105679,0.9809438148221411,-0.4133406342237477,0.9222523175741705,0.6958541014078149
SPY,0.7196328798635844,0.9361183773105679,1.0,0.9569487804779875,-0.5118517611149301,0.8009029995721396,0.7353720004282328
REA,0.6992209623987719,0.9809438148221411,0.9569487804779875,1.0,-0.4852334385023979,0.8722090550277851,0.7040120560804072
GOL,-0.3714516563114526,-0.4133406342237477,-0.5118517611149301,-0.4852334385023979,1.0,-0.27473109303913157,-0.1536673286647385
TYX,0.4118982880091251,0.9222523175741705,0.8009029995721396,0.8722090550277851,-0.27473109303913157,1.0,0.5290280499566771
BTC,0.770289207609109,0.6958541014078149,0.7353720004282328,0.7040120560804072,-0.1536673286647385,0.5290280499566771,1.0
